function,dimension,noise_sigma,method,n_pairs,vanilla_median,method_median,median_delta_vs_vanilla,win_rate_vs_vanilla,loss_rate_vs_vanilla,wilcoxon_p_two_sided,ratio_median_vs_vanilla_non_primary,bh_fdr_q_value,is_q_significant
ellipsoid_cond1e6,10,0.0,lr_adapt_proxy,100,1084.1895885976264,772.5279235925334,-183.1346473157025,0.59,0.41,0.0072457855911389,0.7125395149678387,0.0105393244962021,True
ellipsoid_cond1e6,10,0.1,lr_adapt_proxy,100,1084.1407318568422,772.6706267944583,-296.62265260187456,0.59,0.41,0.0063328576554429,0.7127032534522347,0.0093054234937121,True
ellipsoid_cond1e6,10,0.2,lr_adapt_proxy,100,1084.574072559482,785.1307085972703,-165.0600309943629,0.59,0.41,0.0085304905166532,0.7239069497064812,0.0121622835088917,True
ellipsoid_cond1e6,20,0.0,lr_adapt_proxy,100,71476.35575055666,31784.610448487227,-37674.6447805527,0.9,0.1,3.168641251863537e-15,0.4446870593040788,9.708177452518071e-15,True
ellipsoid_cond1e6,20,0.1,lr_adapt_proxy,100,71476.28190092588,31784.65038499892,-37674.74856099834,0.9,0.1,3.4412810293497968e-15,0.4446880774947975,1.0323843088049391e-14,True
ellipsoid_cond1e6,20,0.2,lr_adapt_proxy,100,71476.47036003675,31034.77422285608,-37674.65207957549,0.9,0.1,3.168641251863537e-15,0.434195673996347,9.708177452518071e-15,True
ellipsoid_cond1e6,40,0.0,lr_adapt_proxy,100,974680.8769914254,294630.4515314406,-620317.3470573493,0.99,0.01,4.2663227307182344e-18,0.3022840177606486,1.9198452288232053e-17,True
ellipsoid_cond1e6,40,0.1,lr_adapt_proxy,100,974680.8919976152,294630.38492763764,-620317.4553029037,0.99,0.01,4.2663227307182344e-18,0.3022839447727252,1.9198452288232053e-17,True
ellipsoid_cond1e6,40,0.2,lr_adapt_proxy,100,974680.7746896396,294630.43796168757,-620317.0468367639,0.99,0.01,4.2663227307182344e-18,0.3022840355659057,1.9198452288232053e-17,True
rastrigin,10,0.0,lr_adapt_proxy,100,32.88772565234917,22.53477261077699,-6.4812361285591304,0.61,0.39,0.0014021710196982,0.6852031316786217,0.0021480066684739,True
rastrigin,10,0.1,lr_adapt_proxy,100,27.86170059955571,21.402377574040663,-3.338256124342025,0.55,0.45,0.0076272450699201,0.768164796601897,0.010983232900685,True
rastrigin,10,0.2,lr_adapt_proxy,100,29.811595447831188,21.709683741668556,-5.069016704637311,0.55,0.45,0.0114986234745202,0.7282295165872429,0.0162333507875579,True
rastrigin,20,0.0,lr_adapt_proxy,100,147.32603598588292,104.49298596865736,-38.84128583220361,0.89,0.11,1.8019328432324396e-14,0.7092635410259059,4.3979377868723957e-14,True
rastrigin,20,0.1,lr_adapt_proxy,100,147.47632172389268,110.92063416300564,-35.1046767249787,0.92,0.08,6.166069759616457e-17,0.7521250385582092,2.4664279038465833e-16,True
rastrigin,20,0.2,lr_adapt_proxy,100,145.7451324744635,108.5709722961257,-31.262941445022392,0.93,0.07,1.2733079538420982e-16,0.7449372095850185,4.472105984225906e-16,True
rastrigin,40,0.0,lr_adapt_proxy,100,396.62080226754233,353.90750358683704,-48.63559840001883,0.79,0.21,2.9955051713902096e-10,0.8923069631332831,6.343422715885148e-10,True
rastrigin,40,0.1,lr_adapt_proxy,100,395.9868836951423,354.87574947824635,-33.24604973960339,0.81,0.19,6.092187697490645e-09,0.8961805657973608,1.2355986316037365e-08,True
rastrigin,40,0.2,lr_adapt_proxy,100,398.0030655310753,357.45903069909775,-36.96853760624393,0.73,0.27,2.701284296002611e-08,0.8981313503757122,5.402568592005222e-08,True
rosenbrock,10,0.0,lr_adapt_proxy,100,7.963584578782786,10.280012411408856,2.1667428996053584,0.26,0.74,2.8586825773647623e-05,1.290877532562118,5.020125501713729e-05,True
rosenbrock,10,0.1,lr_adapt_proxy,100,8.307753329260235,10.507173976304056,2.0156707156372624,0.26,0.74,0.0001533408362447,1.2647431332966248,0.0002538055220603,True
rosenbrock,10,0.2,lr_adapt_proxy,100,8.057731884500688,10.436536924421238,1.9687512311536384,0.25,0.75,8.866282125739412e-05,1.2952201778389103,0.0001502052501301,True
rosenbrock,20,0.0,lr_adapt_proxy,100,32.17534839079061,65.82358441945792,28.988317206678627,0.26,0.74,4.0973322370456585e-05,2.0457768978905064,7.108624604031023e-05,True
rosenbrock,20,0.1,lr_adapt_proxy,100,34.3542372111561,69.69903672832763,27.940058249224588,0.26,0.74,1.2418346489695002e-05,2.028833773834855,2.263597334830481e-05,True
rosenbrock,20,0.2,lr_adapt_proxy,100,32.3738134768236,64.56742034437076,28.174663946019255,0.24,0.76,2.172993678852733e-05,1.9944335686802712,3.911388621934919e-05,True
rosenbrock,40,0.0,lr_adapt_proxy,100,588.945718635892,520.5422275367914,-62.47905884580223,0.58,0.42,0.0559135789702011,0.8838543367671713,0.0738674804743941,False
rosenbrock,40,0.1,lr_adapt_proxy,100,608.2524167439151,520.4781762078961,-67.62009211594906,0.59,0.41,0.037194304323534,0.8556943825954851,0.0505281115338576,False
rosenbrock,40,0.2,lr_adapt_proxy,100,579.9679281583306,515.8980335901931,-64.83059169289834,0.59,0.41,0.0280140495047836,0.889528555877927,0.0384192678922747,True
sphere,10,0.0,lr_adapt_proxy,100,1.0582496805720369e-05,0.0183019843695423,0.018294284742951,0.0,1.0,3.89655984509591e-18,1729.4580575398058,1.9198452288232053e-17,True
sphere,10,0.1,lr_adapt_proxy,100,-0.2179488433933271,-0.1684039062886362,0.0570608013696232,0.06,0.94,9.815788244911682e-17,0.772676301771979,3.533683768168205e-16,True
sphere,10,0.2,lr_adapt_proxy,100,-0.4586406283900504,-0.3831782618591293,0.0700481636406968,0.22,0.78,5.311468043336473e-10,0.8354651510141745,1.108480287305003e-09,True
sphere,20,0.0,lr_adapt_proxy,100,0.0120837078628218,0.2911805577392357,0.2788117941284453,0.0,1.0,3.89655984509591e-18,24.09695443193524,1.9198452288232053e-17,True
sphere,20,0.1,lr_adapt_proxy,100,-0.0919721745806678,0.2340954694339727,0.3169620104504937,0.01,0.99,4.0161556854627e-18,-2.5452857943317424,1.9198452288232053e-17,True
sphere,20,0.2,lr_adapt_proxy,100,-0.238437360435515,0.0959979811485494,0.3140517587346249,0.01,0.99,4.0161556854627e-18,-0.4026130006354935,1.9198452288232053e-17,True
sphere,40,0.0,lr_adapt_proxy,100,1.6171826672837812,2.749465924587623,1.1681417571731654,0.15,0.85,3.116882971760749e-13,1.7001579229176529,6.905094583593043e-13,True
sphere,40,0.1,lr_adapt_proxy,100,1.5099065684665791,2.6756925362435284,1.1289715889764125,0.09,0.91,1.6769992593993556e-15,1.7720914605735445,5.488361212579708e-15,True
sphere,40,0.2,lr_adapt_proxy,100,1.693052483429594,2.72429837114643,1.0112006513862677,0.13,0.87,3.116882971760749e-13,1.6091045007818394,6.905094583593043e-13,True
